case_id,timestamp,end_timestamp,cost,activity,org:resource
2,2024-10-06T15:52:26.656730+00:00,2024-10-06T15:52:27.493310+00:00,0,__start__,__start__
2,2024-10-06T15:52:27.493310+00:00,2024-10-06T15:52:30.104538+00:00,108,chatbot_node,chatbot_node
2,2024-10-06T15:52:30.104538+00:00,2024-10-06T15:52:31.835189+00:00,0,tools,tools
2,2024-10-06T15:52:31.835189+00:00,2024-10-06T15:52:31.835189+00:00,451,chatbot_node,chatbot_node
1,2024-10-06T15:52:59.471269+00:00,2024-10-06T15:53:00.204839+00:00,0,__start__,__start__
1,2024-10-06T15:53:00.204839+00:00,2024-10-06T15:53:00.204839+00:00,25,chatbot_node,chatbot_node
4,2024-10-06T17:59:02.282278+00:00,2024-10-06T17:59:03.091355+00:00,0,__start__,__start__
4,2024-10-06T17:59:03.091355+00:00,2024-10-06T17:59:05.721102+00:00,240,Researcher,Researcher
4,2024-10-06T17:59:05.721102+00:00,2024-10-06T17:59:08.238822+00:00,0,call_tool,call_tool
4,2024-10-06T17:59:08.238822+00:00,2024-10-06T17:59:10.876526+00:00,1373,Researcher,Researcher
4,2024-10-06T17:59:10.876526+00:00,2024-10-06T17:59:11.918660+00:00,1539,chart_generator,chart_generator
4,2024-10-06T17:59:11.918660+00:00,2024-10-06T17:59:13.008259+00:00,0,call_tool,call_tool
4,2024-10-06T17:59:13.008259+00:00,2024-10-06T18:04:48.545671+00:00,1770,chart_generator,chart_generator
4,2024-10-06T18:04:48.545671+00:00,2024-10-06T18:04:50.532434+00:00,0,__start__,__start__
4,2024-10-06T18:04:50.532434+00:00,2024-10-06T18:04:54.464881+00:00,1941,Researcher,Researcher
4,2024-10-06T18:04:54.464881+00:00,2024-10-06T18:04:57.099116+00:00,0,call_tool,call_tool
4,2024-10-06T18:04:57.099116+00:00,2024-10-06T18:05:02.757636+00:00,10121,Researcher,Researcher
4,2024-10-06T18:05:02.757636+00:00,2024-10-06T18:05:05.386516+00:00,0,call_tool,call_tool
4,2024-10-06T18:05:05.386516+00:00,2024-10-06T18:05:07.810873+00:00,12115,Researcher,Researcher
4,2024-10-06T18:05:07.810873+00:00,2024-10-06T18:05:09.953650+00:00,0,call_tool,call_tool
4,2024-10-06T18:05:09.953650+00:00,2024-10-06T18:05:14.274124+00:00,14304,Researcher,Researcher
4,2024-10-06T18:05:14.274124+00:00,2024-10-06T18:05:38.856118+00:00,0,call_tool,call_tool
4,2024-10-06T18:05:38.856118+00:00,2024-10-06T18:05:43.010528+00:00,15441,Researcher,Researcher
4,2024-10-06T18:05:43.010528+00:00,2024-10-06T18:06:13.374445+00:00,0,call_tool,call_tool
4,2024-10-06T18:06:13.374445+00:00,2024-10-06T18:06:18.979140+00:00,17332,Researcher,Researcher
4,2024-10-06T18:06:18.979140+00:00,2024-10-06T18:06:50.797367+00:00,0,call_tool,call_tool
4,2024-10-06T18:06:50.797367+00:00,2024-10-06T18:06:53.917134+00:00,19594,Researcher,Researcher
4,2024-10-06T18:06:53.917134+00:00,2024-10-06T18:06:53.917134+00:00,0,call_tool,call_tool
5,2024-10-06T18:07:17.286801+00:00,2024-10-06T18:07:18.146869+00:00,0,__start__,__start__
5,2024-10-06T18:07:18.146869+00:00,2024-10-06T18:07:21.458658+00:00,240,Researcher,Researcher
5,2024-10-06T18:07:21.458658+00:00,2024-10-06T18:07:23.090297+00:00,0,call_tool,call_tool
5,2024-10-06T18:07:23.090297+00:00,2024-10-06T18:07:27.079639+00:00,1078,Researcher,Researcher
5,2024-10-06T18:07:27.079639+00:00,2024-10-06T18:07:30.197401+00:00,0,call_tool,call_tool
5,2024-10-06T18:07:30.197401+00:00,2024-10-06T18:07:33.683207+00:00,2549,Researcher,Researcher
5,2024-10-06T18:07:33.683207+00:00,2024-10-06T18:07:34.339267+00:00,2743,chart_generator,chart_generator
5,2024-10-06T18:07:34.339267+00:00,2024-10-06T18:07:35.326347+00:00,0,call_tool,call_tool
5,2024-10-06T18:07:35.326347+00:00,2024-10-06T18:07:35.326347+00:00,2940,chart_generator,chart_generator
